height_cm,weight_kg,age,three_point,dunk,defense,passing,rebounding,speed,stamina,injury_prone,position_PF,position_PG,position_SF,position_SG,team_Dragons,team_Eagles,team_Falcons,team_Knights,team_Lions,team_Rhinos,team_Sharks,team_Tigers,team_Wolves,overall_rating
198.0,96.0,31.0,80.28109348245005,58.17366474211867,51.8010431376098,25.83004291275922,85.87449685295802,49.71672807176857,74.22010091211325,0,False,True,False,False,False,False,False,False,False,False,False,True,False,89.68181590866966
215.0,87.0,22.0,23.497340499595275,32.679470585777736,30.33855436291332,50.45029240548358,21.011777594021453,53.66075092637743,3.082461869937025,0,False,True,False,False,False,False,False,False,False,False,False,True,False,75.19235953840041
196.0,71.0,33.0,81.08785810079185,6.616518883444044,78.02126485356335,9.669455978756714,70.92961271407681,14.939938845377233,30.62392452284004,0,False,False,False,False,False,False,False,True,False,False,False,False,False,80.06886991131772
185.0,103.0,29.0,42.262919701360914,44.27981365437375,19.629430231106703,14.281430447286736,26.50472874092833,61.53478406285743,42.58931550366818,0,True,False,False,False,False,False,False,True,False,False,False,False,False,76.63742750655615
203.0,119.0,26.0,8.227232427706188,57.16076494829439,47.41579458790797,76.97314182968802,99.92072989434408,52.85842014374423,5.168567991113182,0,False,False,False,True,False,False,False,False,False,False,False,True,False,78.76058125336874
210.0,97.0,23.0,29.729079030733363,81.46710047099891,51.111363848950056,80.01375827520759,12.048182243846794,94.33101118741496,5.53323871633461,0,False,True,False,False,False,True,False,False,False,False,False,False,False,84.48908152705859
209.0,70.0,20.0,67.69407829968374,14.92494697414739,82.12501545597043,3.979712733565255,5.976227417838443,93.39874185126172,56.84722021568196,0,False,False,False,False,False,False,False,False,False,False,False,False,False,86.3940010556303
194.0,125.0,32.0,97.33826191648213,47.68388777331244,36.67983206462684,44.68741952004389,92.99217631456648,41.49977583707543,17.86288767542995,0,False,True,False,False,False,False,True,False,False,False,False,False,False,86.05141779620486
209.0,107.0,19.0,96.70352752561462,10.445451810015138,96.56389752668004,51.1093821472398,80.26974053360216,30.32081937596749,48.92162486880907,0,True,False,False,False,False,False,True,False,False,False,False,False,False,87.68388387150824
213.0,117.0,38.0,31.38268082244156,72.89392001051573,80.50973120411349,98.56007339528004,14.44364841550776,70.66425217489339,32.09354383194404,0,True,False,False,False,False,False,False,False,False,False,False,False,False,86.81648681451311
192.0,95.0,30.0,89.40943025332507,23.74785567522575,90.7041960415022,19.26763964867003,94.92811717559836,50.30726002716091,76.97723073855856,0,True,False,False,False,False,False,False,True,False,False,False,False,False,89.67104158256487
217.0,95.0,28.0,62.04737850519706,27.19545593981987,42.37701199309234,82.14712527761908,55.4620491211145,21.52438205009537,77.83719045454912,0,False,False,False,True,False,False,False,False,False,False,False,False,False,83.32366912410188
199.0,98.0,23.0,41.9271661166022,76.53633638580408,6.903693691137491,81.28509715367578,94.8790497691918,66.9953490859218,94.86540809029908,1,True,False,False,False,False,False,False,True,False,False,False,False,False,84.4509273797026
