name,position,height_cm,weight_kg,age,team,three_point,dunk,defense,passing,rebounding,speed,stamina,injury_prone,overall_rating
Player1,PF,181.0,123.0,20.0,Sharks,75.42649733470228,90.84345518793752,83.06227604317912,42.07365625686168,12.711049086702397,16.695017903446917,33.269017969267,0,88.00283360890856
Player2,C,177.0,70.0,39.0,Sharks,91.84264321454087,46.806905423429015,22.46573976417666,50.19454051318417,42.7541855359712,12.115546126098542,43.82986080331659,0,80.28621176586834
Player3,SF,197.0,91.0,23.0,Eagles,95.09285945025483,46.62994129398188,39.933258019922256,90.99301581597186,16.08602934850979,8.54084828082653,26.269330988000515,0,82.01680117570898
Player4,C,217.0,95.0,19.0,Lions,57.712258603832076,76.05756424552823,40.96728692925191,71.72618758657563,70.03478888665695,90.94436640366311,16.47177469429809,0,90.52096095928367
Player5,C,219.0,125.0,29.0,Falcons,35.71211593005028,15.44922040049258,97.82206685265584,58.20701311242236,75.88681344179497,19.362380979546078,68.91433569803377,0,82.73744544334058
Player6,SG,192.0,128.0,19.0,Knights,78.75490858587793,48.72653541000508,18.089190137889833,79.78046813410725,10.579652027279895,41.62849285443547,51.45711162678005,0,80.85508894292045
Player7,SF,212.0,87.0,23.0,Knights,25.100138326230027,42.99852141210597,79.91579711047821,86.43662664559733,50.613985269464436,44.8851365652003,20.015421124936683,1,76.92008415902104
Player8,SF,209.0,119.0,34.0,Rhinos,56.40740288335178,59.69106905466561,33.419271417310995,45.68880717372669,81.46250560259172,59.901104421356756,31.958942625999832,0,83.99465121736405
Player9,SF,189.0,83.0,20.0,Bulls,35.85784615248732,99.95577032504386,73.08703457761604,47.51083649318354,93.61630415509966,7.173534374742497,59.18079076633259,0,86.5454269190302
Player10,C,199.0,116.0,19.0,Dragons,65.66310737078761,76.9448894082047,42.001100429566286,38.60509356518358,51.351786674177,22.675861740051594,7.2229348272477845,0,77.82314081626025
Player11,PF,211.0,98.0,37.0,Bulls,24.03989128935069,39.78657030174272,57.835976311654,96.67061400184606,95.02792236114071,93.1490386918926,14.745300926617954,0,89.25051578673879
Player12,SF,202.0,81.0,25.0,Falcons,19.159294573482576,82.75530522740469,83.26117733261312,69.71662542903503,53.56889704560298,90.84101072685695,7.324560410739012,0,86.26559390109801
Player13,C,184.0,105.0,39.0,Sharks,91.8239086675437,17.070836331248017,80.41655649838842,8.322306620807229,39.419049459990795,78.12906474056922,81.23173327141188,0,89.07895235035832
Player14,SG,213.0,128.0,29.0,Sharks,10.18036829495369,3.0463686308960125,86.64231835397001,86.29596233130185,84.82031285528954,1.9401245618215435,75.24092332120092,1,73.9150692774268
Player15,PF,191.0,104.0,21.0,Sharks,50.595790773493164,20.444837246427305,5.961732534465902,48.05599408362681,49.2982710458089,32.70067684961021,75.33129318792571,0,78.86009827788311
Player16,SG,213.0,121.0,22.0,Rhinos,22.085278296300892,34.041155611425964,69.20505530397449,6.875390642248746,47.190251056452304,62.79587353429078,71.6325343476028,0,84.79501487925172
Player17,PF,196.0,81.0,30.0,Sharks,3.892996332566745,51.05807574595599,13.998737672176286,54.971725516331105,49.03124894098283,27.519021177347568,66.93854236698692,0,76.38329430336651
Player18,C,200.0,76.0,32.0,Falcons,3.601881829142639,61.51291405411998,41.5818568018411,41.716427897570206,84.67850018697453,90.95866950537773,47.6991915378175,1,75.9561032683171
Player19,PG,218.0,98.0,33.0,Eagles,17.522177210582733,91.06057172144217,54.858841505468845,87.7749404862625,83.19415416880521,63.38894618324419,64.22781635071149,0,90.80383322256316
Player20,PF,199.0,80.0,27.0,Dragons,86.67703545060003,50.98540095504577,40.273948474683074,20.399460360938736,40.35199924402112,7.19067173164456,3.836155478797465,1,67.88127013978112
Player21,SG,191.0,102.0,33.0,Falcons,28.247874397702667,50.127564462572934,51.961167580300746,82.6464609492183,33.3299859870525,90.9005588835703,62.14644226567846,1,80.96192360707296
Player22,C,187.0,75.0,29.0,Dragons,95.04591705752958,5.024300982298213,99.65263087986192,55.768869118545275,49.19280240391293,95.77666581762226,77.78777055368772,0,96.21570669526214
Player23,PF,194.0,116.0,34.0,Falcons,58.16222929891936,3.491155265622381,13.521731371285473,5.461030321346905,57.277250973710906,7.771241839172549,50.035836038439015,0,72.70272679070548
Player24,PG,199.0,84.0,,Sharks,43.66141897687661,55.11599619163721,67.54560453364256,97.18453013254846,23.833721062799697,53.23602348613149,35.75133284272369,1,78.10760814068011
Player25,PG,178.0,101.0,29.0,Eagles,58.00888346694546,43.81786132483445,39.600096638561524,51.26152441031999,79.39550847155907,30.336428221417044,27.742673480097913,0,81.80508167250044
Player26,SF,184.0,120.0,25.0,Knights,51.669838522626776,83.91803949802986,13.300979890732878,29.08768542315825,48.648276573242285,39.283907648140236,64.28020501620824,0,81.02951210096491
Player27,SF,177.0,80.0,37.0,Bulls,75.87762537573252,16.067958471184518,15.873676337430954,46.94068419892581,33.40455484199596,17.965121795534188,69.28011986299087,0,76.14534498256282
Player28,SG,215.0,127.0,20.0,Tigers,28.249606597285226,2.49716621170496,94.92731062456168,85.7857783517489,10.68209929639906,57.807210201241254,87.09675998625426,0,92.07539078664958
Player29,PF,219.0,92.0,33.0,Eagles,35.30503916003024,44.903876793012586,87.9601496711762,30.49031243850635,23.884516040360694,95.79793532488907,34.233408246099074,0,86.19811829604808
Player30,PF,192.0,95.0,30.0,Knights,89.40943025332507,23.74785567522575,90.70419604150219,19.26763964867003,94.92811717559837,50.30726002716091,76.97723073855856,0,89.67104158256487
Player31,SF,210.0,103.0,36.0,Lions,94.64565131504055,,99.15327758273865,12.907124693088146,30.50996868195266,8.291458139448116,56.135582418933794,0,82.49030046258146
Player32,PF,196.0,115.0,25.0,Falcons,89.25582274864745,72.4598286847629,20.831539000851794,29.785939839021125,16.885928936703532,62.000133347740835,88.28364906780791,0,84.42713287153506
Player33,PF,208.0,103.0,39.0,Lions,41.94479939573136,11.159299995724748,35.543933736406174,78.00480870400435,46.06727916549932,34.022299445125704,52.78121082956208,0,80.10668110739657
Player34,PG,182.0,98.0,22.0,Knights,78.03655030068816,60.83195000077717,66.92190299248666,47.16263651952617,30.70877433602487,85.59251895912978,51.76298283979672,1,79.30435307997993
Player35,SF,214.0,73.0,37.0,Eagles,47.63357333010988,28.104975016688915,48.38025398606472,22.748160369353997,3.5159250271194153,43.467814831647026,57.787708144090914,0,77.5847792817223
